text,rating,open,review_len,price,description,brief_des,attribute,location
Taco Bell,3.0,Open Now,1 review,Mexican,,Mexican,,"401 N Nellis Blvd, Las Vegas, NV 89110"
Brewske's Pub & Grill,3.0,Open Now,3 reviews,,,Pub,,"3645 N Durango Dr, Las Vegas, NV 89129"
Fatburger,3.0,Open Now,5 reviews,American,,American,,"2845 S. Nellis Blvd., Las Vegas, NV 89121"
Pizza Hut,3.0,Open Now,3 reviews,Pizza,,Pizza,,"560 N. Nellis Blvd. #e1, Las Vegas, NV 89110"
O My Rice,3.0,Open Now,2 reviews,,,,,"5840 W Craig Rd #110, Las Vegas, NV 89130-2561"
Jack in the Box,3.0,Open Now,3 reviews,,,,,"3320 Las Vegas Blvd N Ste B, Las Vegas, NV 89115"
El Pollo Loco,3.0,Open Now,3 reviews,,,,,"2885 S Nellis Blvd El Pollo Loco #6109, Las Vegas, NV 89121-7504"
Burger King,3.0,Open Now,10 reviews,$,,,,"3355 South Maryland Parkway, Las Vegas, NV 89169"
Burger King,3.0,Open Now,2 reviews,,,,,"5536 S Boulder Crossing Hwy, Las Vegas, NV 89122"
Jack in the Box,3.0,Open Now,14 reviews,$,,,,"4860 S Decatur Blvd, Las Vegas, NV 89103"
Lucky's Lounge,3.0,Open Now,3 reviews,,,,,"8025 Farm Rd, Las Vegas, NV 89131-8156"
Joy's Restaurant Buffet,3.0,Open Now,2 reviews,,,,,"1430 E Charleston Blvd, Las Vegas, NV 89104-1705"
Pancho’s Kitchen,3.0,,1 review,Mexican,,Mexican Healthy,,"5201 W Charleston Blvd Suite 120-130, Las Vegas, NV 89146-1456"
Capriotti's Sandwich Shop,3.0,,1 review,,,,,"8714 3355 Novat St #150, Las Vegas, NV 89129"
The Halal Guys Venetian,3.0,,1 review,$$ - $$$,,   Fast Food Mediterranean Healthy,,"3377 Las Vegas Blvd S # 2258, Las Vegas, NV 89109-8910"
Alto Bar,3.0,Open Now,1 review,,,,,"3570 Las Vegas Blvd S, Las Vegas, NV 89109-8924"
Starbucks,3.0,,1 review,,,,,"9151 W Sahara Ave, Las Vegas, NV 89117-7091"
Roberto's Taco Shop,3.0,,1 review,Mexican,,Mexican,,"5117 W Charleston Blvd Between Montclair Street and Brush Street, Las Vegas, NV 89146-1434"
Beach Pizza,3.0,Open Now,1 review,Pizza,,Pizza,,"1780 N Buffalo Dr Ste 107, Las Vegas, NV 89128-2675"
Pt's Pub,3.0,Open Now,1 review,,,Pub,,"532 E Sahara Ave, Las Vegas, NV 89104-2725"
The Lodge at Shelbourne,3.0,Open Now,1 review,,,,,"8350 S Rainbow Blvd, Las Vegas, NV 89139-6754"
China Roll,3.0,Open Now,1 review,Chinese,,Chinese,,"3310 S Nellis Blvd Ste 21, Las Vegas, NV 89121-2911"
PT's Pub,3.0,Open Now,1 review,,,,,"2280 S Nellis Blvd, Las Vegas, NV 89104-6234"
Speed Zone Tavern,3.0,,3 reviews,,,Pub,,"4355 E Craig Rd, Las Vegas, NV 89115-1805"
7-Eleven,3.0,,1 review,,,,,"1624 S Decatur Blvd, Las Vegas, NV 89102-8512"
Taco Bell,3.0,Open Now,1 review,Mexican,,Mexican,,"9480 W. Lake Mead Blvd., Las Vegas, NV 89134"
Mrs Fields Boulevard Mall,3.0,Open Now,1 review,,,,,"3680 S Maryland Pkwy Ste 117, Las Vegas, NV 89169-3069"
Panda Express,3.0,Open Now,1 review,Chinese,,Chinese,,"3325 E Russell Rd, Las Vegas, NV 89120-3470"
Brown Rice Thai Kitchen,3.0,,1 review,,,,,"1910 Village Center Cir, Las Vegas, NV 89134-6243"
Noble Roman's Pizza,3.0,Open Now,2 reviews,Pizza,,Pizza,,"740 S Decatur Blvd, Las Vegas, NV 89107-3907"
Kopper Keg East,3.0,,1 review,,,,,"4550 E Tropicana Ave, Las Vegas, NV 89121-6705"
Popeyes,3.0,,1 review,,,,,"7065 N Durango Dr, Las Vegas, NV 89149-4478"
Jamba Juice,3.0,Open Now,1 review,,,,,"6925 S Rainbow Blvd, Las Vegas, NV 89118-3263"
Ori Zaba’s Mexican Grill,3.0,Open Now,1 review,$,, Mexican Seafood Grill,,"1263 E Silverado Ranch Blvd, Las Vegas, NV 89183-5945"
Sonny's Saloon & Casino,3.0,,1 review,,,,,"3449 Industrial Rd, Las Vegas, NV 89109-1922"
McDonald's,3.0,Open Now,2 reviews,,,,,"2310 E Serene, Las Vegas, NV 89123"
McDonald's,3.0,,1 review,,,,,"3626 S Rainbow Blvd, Las Vegas, NV 89103"
Jersey Mike's Subs,3.0,,1 review,,,,,"8410 W Cheyenne Ave, Las Vegas, NV 89129-5110"
Kapuso Kamilya Bar Karaoke,3.0,Closed Now,1 review,,,,,"4300 Spring Mountain Rd, Las Vegas, NV 89102-8735"
Gama Bakery & Cakes,3.0,Open Now,1 review,,,,,"4750 W Sahara Ave Ste 27, Las Vegas, NV 89102-3560"
Jack in the Box,3.0,Open Now,1 review,,,,,"3790 E Tropicana Ave, Las Vegas, NV 89121"
7-Eleven,3.0,,1 review,,,,,"3033 Arville St, Las Vegas, NV 89102-7408"
7-Eleven,3.0,,1 review,,,,,"4880 Boulder Hwy, Las Vegas, NV 89121-3018"
China One,3.0,,1 review,,,,,"7380 S Rainbow Blvd Ste 102, Las Vegas, NV 89139-0409"
7-Eleven,3.0,,1 review,,,,,"200 W Boston Ave, Las Vegas, NV 89102-4714"
7-Eleven,3.0,,1 review,,,,,"6446 N Durango Dr, Las Vegas, NV 89149-4599"
7-Eleven,3.0,,1 review,,,,,"5095 S Decatur Blvd, Las Vegas, NV 89118-4974"
Blaze Pizza,3.0,,1 review,Pizza,,Pizza,,"10060 W Sahara Ave, Las Vegas, NV 89117-6013"
7-Eleven,3.0,,1 review,,,,,"4380 W Desert Inn Rd, Las Vegas, NV 89102-7600"
Quiznos,3.0,,2 reviews,,,,,"6420 S Pecos Rd Ste C, Las Vegas, NV 89120-3297"
Alexander's Pizza,3.5,Open Now,4 reviews,,,,,"5020 Broadbent Blvd, Las Vegas, NV 89122-8400"
Ilopango Salvadorean Restaurant,3.0,Closed Now,3 reviews,Spanish,,Spanish,,"3430 E Tropicana Ave, Las Vegas, NV 89121-7335"
Kosher On The Go,3.0,Open Now,2 reviews,Kosher,,Kosher,,"4825 W Flamingo Rd Suites 6 & 7, Las Vegas, NV 89103-3732"
KFC,3.0,Open Now,3 reviews,American,,American,,"6181 West Lake Mead Blvd, Las Vegas, NV 89108"
McDonald's,3.0,Open Now,10 reviews,,,,,"4855 S Maryland Pky, Las Vegas, NV 89119"
Roberto's Taco Shop,3.0,,3 reviews,Mexican,,Mexican,,"1414 N Eastern Ave, Las Vegas, NV 89101-1553"
Popeyes Louisiana Kitchen,3.5,Open Now,6 reviews,,,,,"6500 Boulder Hwy # 100, Las Vegas, NV 89122-7451"
Fatburger,3.0,Open Now,12 reviews,$,, American,,"6775 W. Flamingo Road, Las Vegas, NV 89103"
Carl's Jr. Green Burrito,3.0,Open Now,3 reviews,Mexican,,Mexican,,"4606 E Tropicana Ave, Las Vegas, NV 89121-6723"
Red Mango,3.5,Open Now,8 reviews,,,,,"3528 S Maryland Pkwy # 152, Las Vegas, NV 89169-3054"
Off The Hook,3.5,Open Now,20 reviews,$$ - $$$,,   Seafood,,"4155 S Buffalo Dr Suite 105, Las Vegas, NV 89147-6225"
Wendy's,3.0,Open Now,3 reviews,,,,,"7150 W Lake Mead Blvd, Las Vegas, NV 89128"
Del Taco,3.0,,7 reviews,$,, Mexican,,"2320 E Serene Ave, Las Vegas, NV 89123-3248"
Coney Island Gourmet Hot Dogs,3.0,,10 reviews,$$ - $$$,,  ,,"3480 S Maryland Pkwy The Boulevard Mall, Suite 102, Las Vegas, NV 89169-3065"
McFadden's,3.0,Open Now,33 reviews,$$ - $$$,,   American Bar Pub,,"6593 Las Vegas Blvd S Ste 222, Las Vegas, NV 89119-3236"
Arby's,3.0,Open Now,2 reviews,American,,American,,"725 N Nellis Blvd, Las Vegas, NV 89110"
Mr. Sandwich,3.0,,4 reviews,,,,,"4626 S Maryland Pkwy Suite C, Las Vegas, NV 89119-0008"
China Hot Wok,3.0,,6 reviews,,,,,"7121 W Craig Rd Suite 112, Las Vegas, NV 89129-6001"
Subway,3.0,Open Now,3 reviews,,,,,"7121 W Craig Rd Ste 107, Las Vegas, NV 89129-6001"
PT's Gold,3.0,Open Now,5 reviews,$$ - $$$,,   Pub,,"1383 E Silverado Ranch Blvd, Las Vegas, NV 89183-5925"
Tokyo Sushi House,3.0,Open Now,13 reviews,$$ - $$$,,   Japanese Sushi Asian,,"10040 W Cheyenne Ave, Las Vegas, NV 89129-7719"
Carl's Jr.,2.0,Open Now,1 review,,,,,"3189 N Rainbow Blvd, Las Vegas, NV 89108-4578"
Elation Pool Cafe & Bar,3.0,Open Now,5 reviews,$$ - $$$,,   Bar Pub,,"2000 Las Vegas Blvd S Stratosphere, Las Vegas, NV 89104-2507"
Pizzeria Pronto,3.0,,5 reviews,$$ - $$$,,   Italian Pizza Cafe,,"3377 Las Vegas Blvd S Ste 2085, The Venetian Hotel & Casino, Las Vegas, NV 89109-8910"
Panda Express,3.0,Open Now,5 reviews,Chinese,,Chinese,,"5130 S Fort Apache Rd Ste 230, Las Vegas, NV 89148-1719"
City Centre Caffe,3.0,Closed Now,2 reviews,,,,,"375 Lewis Ave, Las Vegas, NV 89101-6203"
Brothers Pizza,3.0,,4 reviews,,,,,"7575 S Rainbow Blvd, Las Vegas, NV 89139-5479"
Sofia's PIzza,3.0,Open Now,9 reviews,$,, Pizza Italian Mediterranean,,"3124 Las Vegas Blvd N, Las Vegas, NV 89115-0504"
Domino's Pizza,2.5,Open Now,2 reviews,Pizza,,Pizza,,"9310 S Eastern Ave Ste 104, Las Vegas, NV 89123"
Pt's Pub,3.0,Open Now,6 reviews,,,Pub,,"8584 W Lake Mead Blvd, Las Vegas, NV 89128-7630"
Chipotle Mexican Grill,3.0,Open Now,6 reviews,,,,,"875 S Grand Central Pkwy Ste 1660, Las Vegas, NV 89106"
Chuck E. Cheese's,3.0,Open Now,8 reviews,$$ - $$$,,   Pizza,,"7381 W Lake Mead Blvd, Las Vegas, NV 89128-1003"
Olympic Garden,3.0,,11 reviews,,,,,"125 Las Vegas Blvd S, Las Vegas, NV 89101-5718"
Tennesseasonings,3.0,Open Now,10 reviews,$$ - $$$,,   American Barbecue,,"7815 W. Warm Springs Road, Las Vegas, NV 89121"
McDonald's,3.0,Open Now,4 reviews,,,,,"5947 Spring Mountain Rd, Las Vegas, NV 89103"
Omaha Steaks,2.5,Open Now,2 reviews,Steakhouse,,Steakhouse,,"2192 N Rainbow Blvd Ste 104, Las Vegas, NV 89108-7352"
Port of Subs,2.0,Closed today,1 review,,,,,"850 S Rancho Dr, Las Vegas, NV 89106-3810"
Papa John's Pizza,2.5,Open Now,2 reviews,,,,,"1010 East Desert Inn Road, Las Vegas, NV 89109"
JP's,2.0,,1 review,,,,,"4055 Palos Verdes St, Las Vegas, NV 89119-6952"
Hibachi Grill Supreme Buffet,3.0,Open Now,8 reviews,Chinese,,Chinese American,,"313 N Nellis Blvd, Las Vegas, NV 89110-5323"
Contento Pizzeria & Bar,2.0,,1 review,,,,,"1821 Las Vegas Blvd N inside Jerry's Nugget Casino, Las Vegas, NV 89030-6936"
McDonald's,2.0,Open Now,1 review,,,,,"3175 N Rancho, Las Vegas, NV 89130"
HummusVegas,2.0,,1 review,,,Israeli,,"318 Las Vegas Blvd N, Las Vegas, NV 89101-2923"
New Jumbo Buffet,3.0,Open Now,12 reviews,$,, Chinese,,"1617 S Decatur Blvd, Las Vegas, NV 89102-8514"
Barcelona Lounge,2.0,,1 review,,,,,"5011 E Craig Rd, Las Vegas, NV 89115-2250"
Sam Woo BBQ,3.0,Open Now,96 reviews,$$ - $$$,,   Chinese Asian Barbecue,,"4215 Spring Mountain Rd, Las Vegas, NV 89102-8742"
PT's Pub,2.5,Open Now,3 reviews,,,Pub,,"3435 N Nellis Blvd, Las Vegas, NV 89115-2890"
Taco Naco,2.0,Open Now,1 review,Mexican,,Mexican,,"1613 Manhattan Dr, Las Vegas, NV 89106-1721"
Subway,2.0,,1 review,,,,,"6495 S Pecos Rd Ste C, Las Vegas, NV 89120-6234"
Roberto's Taco Shop,3.0,Open Now,6 reviews,Mexican,,Mexican,,"4955 E Craig Rd Ste 2, Las Vegas, NV 89115-2216"
Burger King,2.5,Open Now,3 reviews,,,,,"6080 W Craig Rd, Las Vegas, NV 89130"
Great Steak & Potato,2.5,,17 reviews,$,, American,,"McCarran International Airport, Las Vegas, NV"
Sonic Drive-In,2.0,Open Now,1 review,,,,,"6464 N Decatur Blvd, Las Vegas, NV 89084"
McDonald's,2.5,Open Now,3 reviews,,,,,"3500 E Bonanza, Las Vegas, NV 89110"
Putter's Bar and Grill,3.0,Open Now,4 reviews,$,,,,"7150 S Durango Dr Ste 100, Las Vegas, NV 89113-2242"
The Real Crepe,4.5,,8 reviews,$,, French,,"7595 W Washington Ave Ste 160, Las Vegas, NV 89128-4343"
China A Go Go,3.0,Open Now,4 reviews,Chinese,,Chinese,,"1983 N Nellis Blvd Ste D-10, Las Vegas, NV 89115-3647"
High Roller Pizza,2.5,Open Now,2 reviews,,,,,"8174 South Las Vegas Boulevard, Las Vegas, NV, Las Vegas, NV 89123"
Subway,2.5,,2 reviews,,,,,"8050 Dean Martin Dr, Las Vegas, NV 89139-6624"
Manchu Wok,3.0,,40 reviews,$,, Chinese Fast Food,,"3850 Las Vegas Blvd S, Las Vegas, NV 89109-4324"
Fieldhouse Las Vegas,2.0,,2 reviews,,,,,"2973 Sammy Davis Jr Dr, Las Vegas, NV 89109-1177"
KFC,2.5,Open Now,8 reviews,$,, American,,"4855 South Fort Apache Road, Las Vegas, NV 89147"
Moe's Southwest Grill,2.5,,6 reviews,$,,,,"6910 S Rainbow Blvd Ste 100, Las Vegas, NV 89118-3274"
ChiAm Restaurant,2.0,,2 reviews,Chinese,,Chinese,,"6010 W Craig Rd #150, Las Vegas, NV 89130-2571"
Jack in the Box,2.5,,3 reviews,,,,,"3410 E Sunset Rd, Las Vegas, NV 89120-3234"
Huffman's Homemade Chicken,2.5,Opens in 24 min,9 reviews,$$ - $$$,,   American,,"750 S Rampart Blvd Ste 16 #16, Las Vegas, NV 89139"
KFC,2.0,Open Now,2 reviews,American,,American,,"10267 W Charleston Blvd, Las Vegas, NV 89135"
China Dragon,1.0,Open Now,1 review,Chinese,,Chinese,,"5905 S Eastern Ave Suite 104, Las Vegas, NV 89119-3129"
Burger King,2.5,,15 reviews,$,, Quick Bites Fast Food,,"Terminal 3 E Gates McCarran International Airport, Las Vegas, NV 89119"
Tacos Los Toritos,2.5,,3 reviews,Mexican,,Mexican,,"855 E Twain Ave Ste 127, Las Vegas, NV 89169-0821"
Noble Romans Pizza,3.0,,30 reviews,$,, Fast Food Pizza,,"3411 Las Vegas Blvd S, Las Vegas, NV 89109-8955"
Just a Bite Cheesecakes,2.5,,3 reviews,American,,American Cafe,,"238 S Rainbow Blvd, Las Vegas, NV 89145-5329"
Subway,1.0,,1 review,,,,,"1105 S Rainbow Blvd Ste 106, Las Vegas, NV 89146-1072"
El Pollo Loco,2.5,Open Now,6 reviews,Mexican,,Mexican Spanish,,"7380 W Cheyenne Ave, Las Vegas, NV 89129-6201"
Korean Garden Restaurant,1.0,Open Now,1 review,Asian,,Asian Korean,,"953 E Sahara Ave Ste E28 In Commercial Center, Las Vegas, NV 89104-3094"
Roberto's Taco Shop,2.0,,2 reviews,Mexican,,Mexican,,"4886 W Lone Mountain Rd, Las Vegas, NV 89130-2239"
Ichiban,2.5,,5 reviews,Japanese,,Japanese,,"3200 Las Vegas Blvd S Ste 3110, Las Vegas, NV 89109-2612"
Cafe Moda,2.5,Opens in 24 min,17 reviews,$$ - $$$,,  ,,"3400 S Jones Blvd Ste 24, Las Vegas, NV 89146-6785"
Jimmy John's,2.5,Open Now,5 reviews,,,,,"2950 S Durango Dr, Las Vegas, NV 89117-4443"
Pizza Hut,1.0,Open Now,1 review,Pizza,,Pizza,,"6895 E. Lake Mead Blvd #a-1, Las Vegas, NV 89156"
New American Sandwich Company,1.0,,1 review,,,,,"955 Grier Dr, Las Vegas, NV 89119-3751"
Pt's Pub,1.0,,1 review,$$ - $$$,,   Bar Pub,,"6055 E. Lake Mead, Las Vegas, NV 89156"
7-Eleven,1.0,,1 review,,,,,"405 E Silverado Ranch Blvd, Las Vegas, NV 89183-6292"
Rocky's Philly Cheese Steaks,2.5,,10 reviews,$,, Steakhouse,,"7400 Las Vegas Blvd S, Las Vegas, NV 89123-1000"
Flatbreadz,2.5,,8 reviews,,,,,"McCarran International Airport, Las Vegas, NV 89119"
Papa John's,1.0,Open Now,1 review,,,,,"5060 Boulder Hwy, Las Vegas, NV 89122-6071"
Burger King,1.0,Open Now,1 review,,,,,"8564 West Lake Mead Blvd, Las Vegas, NV 89128"
7-Eleven,1.0,,1 review,,,,,"3673 Indios Ave, Las Vegas, NV 89121-2968"
McDonald's,3.0,Open Now,58 reviews,$,, Quick Bites American Fast Food,,"3700 S Paradise Rd, Las Vegas, NV 89109"
Mr. Ribs & Mrs. Rice,1.0,Open Now,1 review,,,,,"4120 Spring Mountain Rd, Las Vegas, NV 89102-8702"
McDonald's,1.0,Open Now,1 review,,,,,"7662 W Lake Mead, Las Vegas, NV 89128"
Scotty Beans Coffee Shop & Deli,2.5,,6 reviews,,,,,"4490 Las Vegas Blvd N, Las Vegas, NV 89115-0534"
Kiton Kitchen,1.0,,1 review,,,,,"6840 W Sahara Ave, Las Vegas, NV 89146-2966"
Port of Subs,2.0,Open Now,2 reviews,,,,,"7120 N Durango Dr Ste 160, Las Vegas, NV 89149-4467"
Dairy Queen,2.0,,2 reviews,,,,,"10475 Spencer St, Las Vegas, NV 89183-7711"
Woods Family Sandwiches,1.0,,1 review,,,,,"3318 E Flamingo Rd Suite B, Las Vegas, NV 89121-7496"
Ho Ho Ho Chinese Gourmet,2.5,Open Now,10 reviews,$,, Chinese Asian,,"10217 W Charleston Blvd Ste D, Las Vegas, NV 89135-1021"
Burger King,2.0,Open Now,2 reviews,,,,,"820 North Rancho, Las Vegas, NV 89106"
McDonald's,1.5,Open Now,2 reviews,,,,,"3229 E Tropicana Ave, Las Vegas, NV 89121"
India Market & Cafe,4.0,Open Now,1 review,Indian,,Indian International Healthy,,"1435 E Tropicana Ave, Las Vegas, NV 89119-6548"
Long John Silver's,2.0,,7 reviews,Seafood,,Seafood,,"5930 Centennial Center Blvd, Las Vegas, NV 89149-4558"
Nacho Tacos Authentic Mexican,1.5,Open Now,3 reviews,$$ - $$$,,   Mexican,,"3000 Paradise Rd Inside the SuperBook wing inside The Court, Las Vegas, NV 89109-1287"
Taco Bell,4.0,Open Now,8 reviews,$,, Mexican Fast Food,,"6010 W. Tropicana, Las Vegas, NV 89103"
Sonic Drive-In,2.0,Open Now,4 reviews,,,,,"3340 East Flamingo Road, Las Vegas, NV 89121"
Long John Silver's,2.0,,4 reviews,Seafood,,Seafood,,"3270 N Durango Dr, Las Vegas, NV 89129-7279"
Sofia's Pizza,2.5,Open Now,13 reviews,$,, Pizza,,"5645 S Eastern Ave Ste 1, Las Vegas, NV 89119-2373"
Pizza Factory,2.5,Open Now,5 reviews,,,,,"10420 Decatur Blvd, Las Vegas, NV 89141-8716"
Noble Roman's,2.5,,9 reviews,Pizza,,Pizza,,"2880 Las Vegas Blvd S, Las Vegas, NV 89109-1138"
Hot Pink Tea House,5.0,Open Now,1 review,$,, Cafe,,"7960 S Rainbow Blvd Suite 8000F, Las Vegas, NV 89139-6476"
Lilly's,1.0,Open Now,2 reviews,Thai,,Thai,,"8470 W Desert Inn Rd Suite H-3, Las Vegas, NV 89117-9199"
KFC,2.0,Open Now,4 reviews,American,,American,,"4434 N Rancho Dr, Las Vegas, NV 89130"
Domino's Pizza,2.0,Open Now,3 reviews,,,,,"4150 Boulder Hwy, Las Vegas, NV 89121"
Las Delicias Demontecristo,1.5,,3 reviews,,,,,"2055 E Tropicana Ave Suite 11, Las Vegas, NV 89119-6585"
The Tavern,5.0,Open Now,1 review,$$ - $$$,,   American Bar Pizza,,"1113 S Rainbow Blvd Rainbow/Charleston, Las Vegas, NV 89146-1002"
PT's Pub,1.5,Open Now,2 reviews,,,Pub,,"347 N Nellis Blvd, Las Vegas, NV 89110-5323"
McDonald's,2.0,Open Now,3 reviews,,,,,"7171 W Ann Rd, Las Vegas, NV 89130"
Aloha A Go Go,1.5,,2 reviews,,,,,"5841 E Charleston Blvd Ste 270, Las Vegas, NV 89142-1021"
Del Taco,2.5,Open Now,6 reviews,Mexican,,Mexican,,"4470 N Rancho Dr, Las Vegas, NV 89130-3406"
Flamingo Pizza,2.5,Open Now,49 reviews,$,, Pizza,,"3500 Wynn Rd, Las Vegas, NV 89103-1709"
WingStreet,,,,,,,,"10260 W Charleston Blvd Ste 5, Las Vegas, NV 89135-1039"
La Costa Del Sol,,,,,,,,"2208 S Nellis Blvd Ste 2B, Las Vegas, NV 89104-6230"
For Goodness Shake,,Open Now,,,,,,"4220 S Grand Canyon Dr Ste 8, Las Vegas, NV 89147-7169"
3.99 Restaurant,,Open Now,,,,,,"4725 Spring Mountain Rd, Las Vegas, NV 89102-8729"
Chess House Cafe,,,,,,,,"6430 West Lakemead #160, Las Vegas, NV 89145-4553"
PT's Gold,,Open Now,,$$ - $$$,,   Bar Pub,,"9732 W Maule Ave, Las Vegas, NV 89148-4299"
Pt's Pub,,,,$$ - $$$,,   Bar Pub,,"2300 E Desert Inn Rd Suite 8, Las Vegas, NV 89169"
PT's Gold,,,,$$ - $$$,,   Bar Pub,,"7550 Oso Blanca Rd, Las Vegas, NV 89149-1432"
PT's Pub,,,,$$ - $$$,,   Bar,,"1281 S Decatur Blvd, Las Vegas, NV 89102-5515"
7-Eleven,,,,,,,,"3130 Las Vegas Blvd N, Las Vegas, NV 89115-0504"
PT's Gold,,,,$$ - $$$,,   Bar Pub,,"6570 S Buffalo Dr, Las Vegas, NV 89113-2161"
PT's Gold,,,,$$ - $$$,,   Bar Pub,,"7355 S Buffalo Dr Suite C, Las Vegas, NV 89113-4107"
Pt's Gold,,,,$$ - $$$,,   Bar Pub,,"4424 Spring Mountain Rd, Las Vegas, NV 89102-8720"
PT's Gold,,,,$$ - $$$,,   Bar Pub,,"4880 W Silverado Ranch Blvd, Las Vegas, NV 89139-7400"
La Barca Mexican Seafood Restaurant,,Open Now,,$$ - $$$,,   Mexican Seafood,,"953 E Sahara Ave, Las Vegas, NV 89104-3005"
Skillet Cafe,,Closes in 24 min,,American,,American,,"3999 W Charleston Blvd, Las Vegas, NV 89102-1620"
Quickee Burgers,,,,Fast Food,,Fast Food,,"4371 N Rancho Dr, Las Vegas, NV 89130-3407"
Smoked Burgers & BBQ,0.0,Open Now,1 review,American,,American Barbecue,,"3500 Las Vegas Blvd S Ste R06A, Las Vegas, NV 89109-8900"
Sholay Restaurant,,,,$,, Indian Halal,,"5191 W Charleston Blvd # 110, Las Vegas, NV 89146-1449"
Big Ricks Texas Tacos,,,,$,, Mexican American,,"1501 N Eastern Ave Parking of U.S. Tire Center, Las Vegas, NV 89101-1512"
El Pollo Mobile,,Open Now,,,,,,"2425 N Rainbow Blvd, Las Vegas, NV 89108-7132"
Port of Subs,,,,,,,,"6005 S Fort Apache Rd Ste 120, Las Vegas, NV 89148-5542"
Lil' Nathan's NYNY Bridge,,,,$$ - $$$,,   American Fast Food,,"3790 Las Vegas Blvd S, Las Vegas, NV 89109-4338"
"French Backery Pastry Bistro, las vegas",,,,French,,French,,"2170 S Rainbow Blvd, Las Vegas, NV 89146-2982"
Puerto Rico Express,,,,,,,,"1516 Las Vegas Blvd S, Las Vegas, NV 89104-1323"
PT's Gold,,,,$$ - $$$,,   Bar Pub,,"7200 W Lake Mead Blvd, Las Vegas, NV 89128-8301"
El Pollo Mobile,,Open Now,,,,,,"621 N Eastern Ave, Las Vegas, NV 89101-2804"
El Alacran De Durango,,Open Now,,,,,,"3711 S Valley View Blvd Ste J, Las Vegas, NV 89103-2973"
Servi-Hispanos,,,,,,,,"1709 S Eastern Ave, Las Vegas, NV 89104-3943"
Bunkhouse Saloon,,Closed Now,,,,,,"124 S 11th St, Las Vegas, NV 89101-7161"
Jacobi's Pizza,,Open Now,,Pizza,,Pizza,,"9620 Las Vegas Blvd S Ste E7, Las Vegas, NV 89123-6507"
Yoscream,,Open Now,,,,,,"430 S Rampart Blvd Ste 190, Las Vegas, NV 89145-5734"
Pizza N Pizza,,,,,,,,"3480 S Maryland Pkwy Ste 105, Las Vegas, NV 89169-3066"
Global Cafe,,,,$$ - $$$,,   Italian Mexican American,,"2185 E Windmill Ln Ste 100, Las Vegas, NV 89123-2047"
Tropical Smoothie Cafe,,Open Now,,American,,American,,"3595 East Bonanza Road Suite 110, Las Vegas, NV 89110"
Taco Bell,,Open Now,,,,,,"7715 W Sahara Ave, Las Vegas, NV 89117-2736"
Burger King,,Open Now,,,,,,"2201 East Sahara Ave, Las Vegas, NV 89104"
Rivas Mexican Grill 6,,,,,,,,"4733 S Maryland Pkwy, Las Vegas, NV 89119-6315"
Rubio's Coastal Grill,,,,,,,,"8431 Farm Rd Ste 110, Las Vegas, NV 89131-8309"
Divebar,,Open Now,,,,,,"3035 E Tropicana Ave, Las Vegas, NV 89121-7385"
Mama D's Pizzeria,,Open Now,,Pizza,,Pizza,,"467 E Silverado Ranch Blvd, Las Vegas, NV 89183-6214"
Village Steakhouse,,Open Now,,Steakhouse,,Steakhouse Kosher,,"9440 W Sahara Ave, Las Vegas, NV 89117-8818"
Peter Piper Pizza,,,,,,,,"2131 S Decatur Blvd, Las Vegas, NV 89102-8590"
New Granada Colombian Street Food,,,,$,, American Latin Fast Food,,"6475 W Charleston Blvd Suite110, Las Vegas, NV 89146-1172"
Sugar Mamma's Cakes,,Open Now,,,,,,"7852 Millbrookshire Way, Las Vegas, NV 89139-6147"
Mama G's Ristorante,,Open Now,,Italian,,Italian,,"6050 Sky Pointe Dr, Las Vegas, NV 89130-4988"
Pretty Maid Cafe,,Open Now,,,,,,"4355 Spring Mountain Rd Ste 101A, Las Vegas, NV 89102-8785"
7-Eleven,,,,,,,,"6515 E Lake Mead Blvd, Las Vegas, NV 89156-7045"
BIG8 Pizza,,,,$$ - $$$,,   Italian Pizza,,"610 E Naples Dr Eatery located inside Freezone, Las Vegas, NV 89119-6665"
Pho Hanh Thy,,,,,,,,"9575 W Tropicana Ave Ste 1, Las Vegas, NV 89147-8491"
7-Eleven,,,,,,,,"6710 E Lake Mead Blvd, Las Vegas, NV 89156-1100"
Buffalo Meat Burgers,,Open Now,,Steakhouse,,Steakhouse,,"3455 S Durango Dr, Las Vegas, NV 89117-4111"
Pizza Place,,Open Now,,Pizza,,Pizza,,"Tenaya Street, Las Vegas, NV 89129"
Inn Zone Craig,,,,,,,,"4725 E Craig Rd, Las Vegas, NV 89115-1848"
Rialto Deli,,Open Now,,Kosher,,Kosher,,"Shop 49 The Venetiation Hotel, Las Vegas, NV"
Pupusas la Familiar Restaurant,,,,,,,,"4524 E Tropicana Ave, Las Vegas, NV 89121-6705"
Taco Bell,,Open Now,,,,,,"3661 E Bonanza Rd, Las Vegas, NV 89110-2162"
Camaradas Mexican-Italian Kitchen,,Open Now,,$,, Italian Mexican,,"2535 S Torrey Pines Dr, Las Vegas, NV 89146-5136"
Pizza Roulette,,,,,,,,"7445 Dean Martin Dr Ste 122, Las Vegas, NV 89139-5991"
Counter Cuisine,,Open Now,,,,,,"6475 W Charleston Blvd, Las Vegas, NV 89146-1172"
Pt's Pub,,,,$$ - $$$,,   Bar Pub,,"310 E Warm Springs Rd, Las Vegas, NV 89119-4245"
